dep_nom,population,total_feminicide,feminicide_per_100k,Légende
Ain,663202,2.0,0.07539181124303003,Ain : 0.08 pour 100 000 habitants par an
Aisne,527468,5.0,0.2369812007553065,Aisne : 0.24 pour 100 000 habitants par an
Allier,334872,,,Allier : pas de données
Alpes-Maritimes,1103941,10.0,0.2264613779178416,Alpes-Maritimes : 0.23 pour 100 000 habitants par an
Alpes-de-Haute-Provence,166077,1.0,0.15053258428319394,Alpes-de-Haute-Provence : 0.15 pour 100 000 habitants par an
Ardennes,268722,4.0,0.37213179419623255,Ardennes : 0.37 pour 100 000 habitants par an
Ardèche,331415,,,Ardèche : pas de données
Ariège,154596,1.0,0.16171181660586303,Ariège : 0.16 pour 100 000 habitants par an
Aube,311329,,,Aube : pas de données
Aude,376028,1.0,0.06648441073537077,Aude : 0.07 pour 100 000 habitants par an
Aveyron,279649,1.0,0.08939778078948968,Aveyron : 0.09 pour 100 000 habitants par an
Bas-Rhin,1152662,3.0,0.06506677586317584,Bas-Rhin : 0.07 pour 100 000 habitants par an
Bouches-du-Rhône,2056943,20.0,0.2430791713722743,Bouches-du-Rhône : 0.24 pour 100 000 habitants par an
Calvados,700633,4.0,0.14272807589708164,Calvados : 0.14 pour 100 000 habitants par an
Cantal,144226,,,Cantal : pas de données
Charente,349684,,,Charente : pas de données
Charente-Maritime,661404,3.0,0.11339514124498794,Charente-Maritime : 0.11 pour 100 000 habitants par an
Cher,299539,1.0,0.08346158597044125,Cher : 0.08 pour 100 000 habitants par an
Corrèze,239784,2.0,0.20852100223534512,Corrèze : 0.21 pour 100 000 habitants par an
Corse-du-Sud,162942,1.0,0.1534288274355292,Corse-du-Sud : 0.15 pour 100 000 habitants par an
Creuse,115702,,,Creuse : pas de données
Côte-d'Or,535503,2.0,0.09337015852385515,Côte-d'Or : 0.09 pour 100 000 habitants par an
Côtes-d'Armor,605917,4.0,0.16503910601617053,Côtes-d'Armor : 0.17 pour 100 000 habitants par an
Deux-Sèvres,374587,3.0,0.2002205095211526,Deux-Sèvres : 0.20 pour 100 000 habitants par an
Dordogne,413730,6.0,0.36255528968167644,Dordogne : 0.36 pour 100 000 habitants par an
Doubs,545676,4.0,0.183258930207669,Doubs : 0.18 pour 100 000 habitants par an
Drôme,519458,1.0,0.048127086309191505,Drôme : 0.05 pour 100 000 habitants par an
Essonne,1313768,15.0,0.28543852491459676,Essonne : 0.29 pour 100 000 habitants par an
Eure,598934,2.0,0.08348165240243499,Eure : 0.08 pour 100 000 habitants par an
Eure-et-Loir,431277,5.0,0.2898369261518699,Eure-et-Loir : 0.29 pour 100 000 habitants par an
Finistère,921638,7.0,0.18987932355219728,Finistère : 0.19 pour 100 000 habitants par an
Gard,756543,7.0,0.23131533832181383,Gard : 0.23 pour 100 000 habitants par an
Gers,192437,2.0,0.25982529347266897,Gers : 0.26 pour 100 000 habitants par an
